matchId,team,time,type_event,player,detail_event
1,Argentina,23,goal, Lionel Messi,Pen
1,Argentina,36,goal,Angel Di Maria ,Kiến tạo: Alexis Mac Allister
1,Argentina,45+7',yellow_card,Enzo Fernandez,
1,Argentina,64,substitution,Marcos Acuna ,Thay: Angel Di Maria
1,Argentina,90+8',yellow_card,Marcos Acuna,
1,Argentina,91,substitution,Gonzalo Montiel ,Thay: Nahuel Molina
1,Argentina,102,substitution,Leandro Paredes ,Thay: Rodrigo De Paul
1,Argentina,102,substitution,Lautaro Martinez ,Thay: Julian Alvarez
1,Argentina,108,goal,Lionel Messi,
1,Argentina,114,yellow_card,Leandro Paredes,
1,Argentina,116,substitution,German Pezzella ,Thay: Alexis Mac Allister
1,Argentina,116,yellow_card,Gonzalo Montiel,
1,Argentina,120,substitution,Paulo Dybala ,Thay: Nicolas Tagliafico
1,Argentina,121,yellow_card,Emiliano Martinez,
1,Pháp,41,substitution,Randal Kolo Muani ,Thay: Ousmane Dembele
1,Pháp,41,substitution,Marcus Thuram ,Thay: Olivier Giroud
1,Pháp,55,yellow_card,Adrien Rabiot,
1,Pháp,71,substitution,Kingsley Coman ,Thay: Antoine Griezmann
1,Pháp,71,substitution,Eduardo Camavinga ,Thay: Theo Hernandez
1,Pháp,80,goal, Kylian Mbappe,Pen
1,Pháp,81,goal,Kylian Mbappe ,Kiến tạo: Marcus Thuram
1,Pháp,87,yellow_card,Marcus Thuram,
1,Pháp,90+5',yellow_card,Olivier Giroud,
1,Pháp,96,substitution,Youssouf Fofana ,Thay: Adrien Rabiot
1,Pháp,113,substitution,Ibrahima Konate ,Thay: Raphael Varane
1,Pháp,118,yellow_card,Kylian Mbappe,
1,Pháp,120,substitution,Axel Disasi ,Thay: Jules Kounde
2,Qatar,15,yellow_card,Saad Al Sheeb,
2,Qatar,22,yellow_card,Almoez Ali,
2,Qatar,36,yellow_card,Karim Boudiaf,
2,Qatar,78,yellow_card,Akram Afif,
2,Qatar,72,substitution,Mohammed Waad ,Thay: Hassan Al Haidos
2,Qatar,72,substitution,Mohammed Muntari ,Thay: Almoez Ali
2,Ecuador,3,penalty_nogoal,Enner Valencia ,VAR check
2,Ecuador,16,goal, Enner Valencia,Pen
2,Ecuador,29,yellow_card,Moises Caicedo,
2,Ecuador,31,goal,Enner Valencia ,Kiến tạo: Angelo Preciado
2,Ecuador,56,yellow_card,Jhegson Mendez,
2,Ecuador,68,substitution,Jeremy Sarmiento ,Thay: Romario Ibarra
2,Ecuador,77,substitution,Jose Cifuentes ,Thay: Enner Valencia
2,Ecuador,90,substitution,Kevin Rodriguez ,Thay: Michael Estrada
2,Ecuador,90,substitution,Alan Franco ,Thay: Moises Caicedo
3,ĐT Anh,35,goal,Jude Bellingham ,Kiến tạo: Luke Shaw
3,ĐT Anh,43,goal,Bukayo Saka ,Kiến tạo: Harry Maguire
3,ĐT Anh,45+1',goal,Raheem Sterling ,Kiến tạo: Harry Kane
3,ĐT Anh,62,goal,Bukayo Saka ,Kiến tạo: Raheem Sterling
3,ĐT Anh,71,goal,Marcus Rashford ,Kiến tạo: Harry Kane
3,ĐT Anh,70,substitution,Eric Dier ,Thay: Harry Maguire
3,ĐT Anh,70,substitution,Marcus Rashford ,Thay: Bukayo Saka
3,ĐT Anh,70,substitution,Jack Grealish ,Thay: Raheem Sterling
3,ĐT Anh,70,substitution,Phil Foden ,Thay: Mason Mount
3,ĐT Anh,75,substitution,Callum Wilson ,Thay: Harry Kane
3,ĐT Anh,90,goal,Jack Grealish ,Kiến tạo: Callum Wilson
3,Iran,20,substitution,Hossein Hosseini ,Thay: Alireza Beiranvand
3,Iran,25,yellow_card,Alireza Jahanbakhsh,
3,Iran,48,yellow_card,Morteza Pouraliganji,
3,Iran,46,substitution,Ali Gholizadeh ,Thay: Alireza Jahanbakhsh
3,Iran,46,substitution,Saeid Ezatolahi ,Thay: Ali Karimi
3,Iran,46,substitution,Hossein Kanaani ,Thay: Roozbeh Cheshmi
3,Iran,63,substitution,Mehdi Torabi ,Thay: Milad Mohammadi
3,Iran,65,goal,Mehdi Taremi ,Kiến tạo: Ali Gholizadeh
3,Iran,77,substitution,Sardar Azmoun ,Thay: Ahmad Nourollahi
3,Iran,90+13',goal, Mehdi Taremi,Pen
4,Senegal,62,substitution,Ismail Jakobs ,Thay: Abdou Diallo
4,Senegal,69,substitution,Ahmadou Bamba Dieng ,Thay: Boulaye Dia
